"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95"
"maxCAL","Cal>=5","DS","DS","MOPW","pearson",0.0852549735921952,5.03258398942265e-05,0.00709407075621793,0.0713508504062292,0.0991590967781611
"maxCAL","Cal>=5","FS","FS","MOPW","pearson",0.0572035661517096,2.91403754752972e-05,0.00539818260855422,0.0466233226569729,0.0677838096464464
"maxCAL","Cal>=5","DSI","DSI","MOPW","pearson",0.061289080439875,5.65900382005218e-05,0.00752263505698115,0.0465449866593535,0.0760331742203965
"maxCAL","Cal>=5","FSI","FSI","MOPW","pearson",-0.0127817114787551,3.34790063568085e-05,0.00578610459262607,-0.024122268091084,-0.00144115486642623
"maxPD","Pd>=4","DS","DS","MOPW","pearson",0.0800540819931268,4.2233624437173e-05,0.00649874021924042,0.0673167852185337,0.09279137876772
"maxPD","Pd>=4","FS","FS","MOPW","pearson",0.0990094518440015,2.59383939443076e-05,0.00509297496011001,0.0890274043480216,0.108991499339981
"maxPD","Pd>=4","DSI","DSI","MOPW","pearson",0.0362511866515391,4.41380770541438e-05,0.00664364937772485,0.0232298731452864,0.0492725001577917
"maxPD","Pd>=4","FSI","FSI","MOPW","pearson",0.0045579262722036,3.02649690641821e-05,0.00550136065570892,-0.00622454247895154,0.0153403950233587
"maxPD","Pd>=5","DS","DS","MOPW","pearson",0.0934048636961144,4.4119619729253e-05,0.006642260137126,0.0803862730514013,0.106423454340827
"maxPD","Pd>=5","FS","FS","MOPW","pearson",0.0992588674225474,3.46052335679011e-05,0.00588262131773762,0.0877291415050941,0.110788593340001
"maxPD","Pd>=5","DSI","DSI","MOPW","pearson",0.0442377542211987,4.06378239731556e-05,0.00637478030783458,0.0317434144084877,0.0567320940339096
"maxPD","Pd>=5","FSI","FSI","MOPW","pearson",0.00872432227733618,3.62318850725552e-05,0.00601929273856615,-0.00307327470265694,0.0205219192573293
"maxPD","Pd>=6","DS","DS","MOPW","pearson",0.115040173390795,4.91496520936706e-05,0.00701068128598573,0.101299490563174,0.128780856218416
"maxPD","Pd>=6","FS","FS","MOPW","pearson",0.112308648651482,4.08719733552232e-05,0.00639311921953777,0.0997783652323167,0.124838932070646
"maxPD","Pd>=6","DSI","DSI","MOPW","pearson",0.0642228318598785,4.44375454917556e-05,0.00666614922513407,0.0511574194630461,0.0772882442567109
"maxPD","Pd>=6","FSI","FSI","MOPW","pearson",0.0262874037792414,3.96755079053604e-05,0.00629884972874892,0.0139418851668636,0.0386329223916192
